location_id,original_name,latitude,longitude,province,region
3291325,Mae Sariang District Office,18.158912,97.93271,Mae Hong Son,North
3332045,Soi Ramintra 62,13.8306134,100.6690372,Bangkok,Central
3337858,Health Promoting Hospital Khlong Sakae,14.499973,100.650785,Phra Nakhon Si Ayutthaya,Central
3343025,Suphan Buri Sri Prachan,14.642824,100.149966,Suphan Buri,Central
3345301,Pramuan Suk Health Park,16.77283,103.29982399999999,Kalasin,Northeast
3345345,Rayong Provincial Stadium,12.678917,101.234664,Rayong,East
3347581,Pramuan Suk Health Park,16.177283,103.29982399999999,Maha Sarakham,Northeast
3349809,Green Life Samui,9.539588,100.046542,Surat Thani,South
3350392,Mexico City Polanco,19.434,99.1956,Chiang Mai,North
3354390,Soi Cowboy,13.7370851,100.562983,Bangkok,Central
3368091,Land Development Station,13.520415,100.1506688,Samut Sakhon,Central
3400903,Soi Cowboy ,13.7370851,100.562983,Bangkok,Central
3400922,Wang Pring Teen Na บ้านวังปริง-ตีนนา ,6.80172419898538,100.49337985674264,Songkhla,South
3400935,MI Home,13.698573693307418,100.5959569057577,Bangkok,Central
3400936,Thung Hua Sinn Group,13.69892706888951,100.5967325993592,Bangkok,Central
3400937,Khlong 3 - Lat Sawai,13.944866,100.6670272,Pathum Thani,Central
3400941,Neighbour Home,13.9135033,100.6843258,Bangkok,Central
3400954,"Bangramad, Talingchan",13.769972,100.436219,Bangkok,Central
3400955,Ban Lat Sombun,17.0747487,103.9818061,Sakon Nakhon,Northeast
3400956,The Lofts Asoke - sukhumvit 21,13.74679776025865,100.56215036834317,Bangkok,Central
3400979,"House 45, Arden Rama 3",13.67941,100.54297,Bangkok,Central
3400985,Onnut 44,13.699072722760107,100.63272004438734,Bangkok,Central
3401031,Royce Private,13.7408785546112,100.56617492969099,Bangkok,Central
3402586,TPN FlexPak,13.5865189344302,100.95071089222978,Chachoengsao,East
3402593,TPN Packaging,13.587370852277184,100.94784483015584,Chachoengsao,East
3402594,Thung Hua Sinn Printing Network,13.579648742936051,100.94081408928972,Chachoengsao,East
3407228,Noble Remix - Bangkok,13.725080260147958,100.57723279163291,Bangkok,Central
3412669,"Don Wai, Nong Khai",17.800084262001807,102.67435310442903,Nong Khai,Northeast
3527752,"Sanam Sai, Pong Ta Long, Pak Chong",14.559764291719427,101.50069771390922,Nakhon Ratchasima,Northeast
3576032,Ban Nong Wa,14.968124,102.9822904,Buri Ram,Northeast
3652441,"Soi Sukhumvit 31, High floor",13.73411,100.565955,Bangkok,Central
3699664,บริษัท ไอ.ที.โกลโบล จำกัด,18.7316881,98.9514679,Chiang Mai,North
3891934,หมู่บ้านแก้วสา,18.928286035684813,98.94445179435797,Chiang Mai,North
3892436,วัดดวงดี,18.91977780483509,98.95279736395602,Chiang Mai,North
3892437,บ้านร้องเกิด,18.92786395211318,98.96541049234524,Chiang Mai,North
3920973,RC-Film,12.947857053547915,101.10873618266338,Rayong,East
4028033,Opposite Thammasat Chiang Rak 1 Gate - ชุมชนคุ้งผ้าพับ ธรรมศาสตร์ เชียงราก 1,14.064706097742768,100.60502410138216,Pathum Thani,Central
4131363,KU faculty of environnment,13.85574,100.570032,Bangkok,Central
4133388,Kasetsat University,13.85574,100.570032,Bangkok,Central
4165629,Trat ,12.250418275215738,102.51627866749956,Trat,East
4213488,KU Faculty of environnment,13.85574,100.570032,Bangkok,Central
4588536,บ้านดอยน้อย,18.9335,99.0098,Chiang Mai,North
4700981,Central Phuket,8.04441,98.3148,Phuket,South
4754802,Urban Studies Lab,13.7574005,100.5066183,Bangkok,Central
4765764,THABO HOSPITAL - โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ,17.846889,102.576403,Nong Khai,Northeast
4837111,Palm Estate,13.710874395049988,100.54139120223834,Bangkok,Central
4894523,Nantawan Pinklao-Ratchaphruek,13.770583060432282,100.43630207777919,Bangkok,Central
4932270,AirGradient Demo Dashboard,18.900572,98.6950831,Chiang Mai,North
4993065,DPSW Production,13.843354,100.725719,Bangkok,Central
5024214,Sukontasawat19 ,13.833484,100.622189,Bangkok,Central
